BG,Circularities,Center_x,Center_y,Radius,Radius_μm
BG(+),0.8410609282064321,471.125,1556.875,10.64346694946289,1.689439198327443
BG(+),0.8930926994984425,1209.909912109375,1543.06640625,59.55724334716797,9.453530690026662
BG(+),0.8835872089804793,803.9827880859375,1403.3792724609375,8.401984214782715,1.3336482880607483
BG(+),0.8132387842930544,497.0428466796875,1316.699951171875,12.001527786254885,1.905004410516648
BG(+),0.8197828337686409,1424,1285,2.8285269737243652,0.448972535511804
BG(+),0.8573716241035623,345,1212.5,1.500100016593933,0.23811111374506871
BG(+),0.8104374439037584,1569.5,932,12.500100135803224,1.984142878698924
BG(+),0.8723113164844012,495,953.33331298828125,39.847015380859375,6.324923076326885
BG(+),0.8925904091800352,1202.8389892578125,968.66192626953125,81.66414642333984,12.962562924339656
BG(+),0.8584266718484391,1110.2332763671875,823.23333740234375,5.3270087242126465,0.8455569403512138
BG(+),0.8001063873003664,497.5,1165,2.061652660369873,0.32724645402696395
BG(+),0.8001063873003664,394,908,2.0000998973846436,0.31747617418803864
BG(+),0.8609220965501134,880.5,776,6.800835609436035,1.0794977157834975
BG(+),0.8753959375580369,428.5,758.28570556640625,10.871562004089355,1.725644762553866
BG(+),0.8376511475806138,174.9766387939453,730.1168212890625,11.295418739318848,1.7929236094156902
BG(+),0.8950479967293,1029.99072265625,674.008056640625,31.38868522644043,4.982330988323878
BG(+),0.8841644729031085,1002.5,643.5,3.807986497879028,0.6044423012506395
BG(+),0.8563417867042262,844.1298828125,580.88311767578125,21.43387222290039,3.4022019401429193
BG(+),0.9019954421224856,800.241455078125,537.65325927734375,21.5335693359375,3.418026878720238
BG(+),0.8573716241035623,924,1015.5,1.500100016593933,0.23811111374506871
BG(+),0.8573716241035623,926,1012.5,1.500100016593933,0.23811111374506871
BG(+),0.8085181428902574,944,737,2.0000998973846436,0.31747617418803864
BG(+),0.8944882088518749,924.3433837890624,447.8525695800781,47.73082733154297,7.576321798657614
BG(+),0.8850455793837545,1493,406.1016845703125,60.63189697265625,9.624110630580358
BG(+),0.8118446236640815,1301.5,327.5,3.5356338024139404,0.5612117146688794
BG(+),0.8085181428902574,1008,271,2.0000998973846436,0.31747617418803864
BG(+),0.8791216623716347,256.9702453613281,44.44289779663086,33.616065979003906,5.3358834887307784
BG(+),0.8714646546573355,1451,11.5,2.061652660369873,0.32724645402696395
BG(+),0.8323186927986581,1447.5,6,3.041481256484986,0.48277480261666433
BG(+),0.8977708662755782,368.20892333984375,46.615291595458984,55.0350456237793,8.735721527584015
